source,target,length_m,routes
472373305,4909436987,511.2,2;4;32
4909436987,919757151,263.7,2;4;32
919757151,919757145,427.8,2;4;32
919757145,683155027,197.4,4;32
683155027,471970141,390.7,4;32;43
471970141,471970142,410.6,4;32;43
471970142,2371073737,472.1,4;32;43
2371073737,2371073740,278.2,4;32;43
2371073740,2371073751,469.2,4;32;43
2371073751,2360761231,355.3,4;43
2360761231,2360708033,374.6,4;43;50;т2
2360708033,13725188935,181.4,4;43;50;т2
13725188935,2360708026,139.6,4;43;50;т2
2360708026,2360708034,458.8,4;43;50;т2
2360708034,2358271807,335.0,4;43;50;т2
2358271807,2358271811,391.7,4;43;50;т2
2358271811,2358271809,246.1,4;43;50;т2
2358271809,2358271813,372.6,4;43;50;т2
2358271813,1992978967,414.4,4;43
1992978967,3599958536,526.7,4;7;13;43;т1
3599958536,1992979018,547.9,4;7;13;43;т1
1992979018,1984518005,206.5,4;43
1984518005,1984517983,251.9,4
1984517983,1992955360,382.7,4;25
1992955360,1992955362,427.5,4;25
1992955362,1992955359,441.0,4;25
1992955359,1992955355,339.1,4;25
1992955355,1992955356,394.8,4;25
1992955356,1992955353,299.8,4;25
1992955353,1642815217,578.5,4;25
1642815217,287393749,424.6,4
287393749,1984653753,517.7,4
1984653753,1984653757,338.4,4;7;46
1984653757,1984653783,373.5,4;7;46
1984653783,1984653805,342.5,4;7;46
1984653805,1984653779,386.4,4;7;46
1984653779,1984654046,440.4,4;7;46
1984654046,1984654067,348.0,4;7;46
1984654067,664687258,610.2,4;7
1377188043,1377188053,613.2,16;47;49;т2
1377188053,1377188061,652.6,16;47;49;т2
1377188061,1377188051,607.6,16;47;49;т2
1377188051,1377334343,438.9,16;т2
1377334343,1377334346,249.9,16;т2
1377334346,1377334428,326.4,16;т2
1377334428,1377334349,691.6,16;т2
1377334349,1381710544,1167.1,16;т2
1381710544,1381710534,220.1,16;т2
1381710534,1381710558,300.0,16;т2
1381710558,1381710531,610.5,16;т2
1381710531,1381710556,263.4,1;16;т2
1381710556,1381710553,494.6,1;16;т2
1381710553,1381710560,406.4,1;16;т2
1381710560,678963759,309.4,1;16
678963759,678963757,292.7,1;16
678963757,678963756,252.6,1;16
678963756,678963755,463.9,1;16
678963755,8270024933,306.4,1;16
8270024933,952273050,332.9,1;16
952273050,678963752,530.5,1;16
678963752,678963751,508.0,1;16
678963751,10865222673,370.2,1;16
10865222673,678963749,543.5,1;16
678963749,10865222687,275.2,1;16
10865222687,678963747,359.0,1;16
678963747,678963746,377.6,1;16
678963746,678963745,210.5,1;16
678963745,678963744,206.9,1;16
678963744,678963743,293.6,1;16
444863659,535844745,480.2,11;17;25
535844745,639572174,424.7,11;17;25
639572174,535844754,352.4,11;17;25
535844754,535844761,401.9,11;17;25
535844761,243894862,606.4,11;17;25
243894862,535844764,300.0,17
535844764,535844768,371.9,17
535844768,273091182,708.4,17
273091182,243896132,795.4,17
243896132,535844771,429.9,17
535844771,535844774,548.3,17
535844774,535844813,580.1,17
535844813,535844810,279.8,17
535844810,535844779,323.8,17
535844779,535844816,584.9,17
535844816,535844818,427.0,17
535844818,535844784,400.8,17
535844784,535844788,472.3,17
535844788,535844782,263.5,17
535844782,534957374,709.4,17
534957374,535844777,301.1,17
535844777,535844790,402.7,17
535844790,1098654108,449.8,17
1098654108,679923004,547.0,17
679923004,535844808,251.5,17
534957385,534957384,230.8,17
534957384,534957383,368.3,17
534957383,534957382,370.3,17
534957382,534957377,496.7,17
534957377,1098591539,296.4,17
1098591539,534957378,613.0,17
534957378,534957381,336.4,17
534957381,534957379,454.4,17
534957379,534957387,468.1,17
534957387,534957386,459.1,17
534957386,535516946,498.3,17
535516946,535516949,325.9,17
535516949,535516954,363.5,17
535516954,535516942,564.2,17
535516942,535516937,562.1,17
535516937,535516930,386.5,17
535516930,535516927,818.3,17
535516927,535516922,574.6,17
535516922,535516918,402.3,17
535516918,535516914,378.6,17
535516914,535516842,647.3,11;17;25
535516842,1046562062,349.9,11;17;25
1046562062,1046561946,337.0,11;17;25
1046561946,535516828,404.6,11;17;25
535516828,3236023227,370.9,11;17;25
428062933,1381710531,445.5,1
1984582826,1984082421,311.9,13;36;46;т1
1984082421,1984082383,425.3,13;36;46;т1
1984082383,1984082368,254.8,13;36;46;т1
1984082368,1984082333,383.4,13;36;46;т1
1984082333,1984082314,601.8,13;36;46;т1
1984082314,1984082290,771.9,13;36;т1
1984082290,1984082276,324.1,13;36;т1
1984082276,1984082244,481.5,13;36;т1
1984082244,1984082176,639.2,13;36;т1
1984082176,1984082122,350.6,13;36;т1
1984082122,5424283351,399.0,13;36;т1
5424283351,1984082069,451.0,13;36;т1
1984082069,1984518219,546.8,13;т1
1984518219,1984518173,614.2,7;13;т1
1984518173,1984534523,580.4,7;13;т1
1984534523,4886737498,311.9,7;13;т1
4886737498,1992978972,421.1,7;13;т1
1992978972,3599958537,582.2,4;7;13;43;т1
3599958537,1992978966,513.2,4;7;13;43;т1
1992978966,1992978970,312.6,4;7;13;43;т1
1992978970,387747233,799.2,7;13;т1
387747233,13134322142,237.4,7;13;50
13134322142,697454775,305.3,13
11987259526,13134322144,243.8,7;13;50
13134322144,471943151,165.1,7;13;50;т1;т2
471943151,471943152,773.1,7;13;50;т1;т2
471943152,1992978967,413.7,7;13;т1
1992979018,1984517976,425.6,7;13;т1
1984517976,1984518151,347.8,7;13;т1
1984518151,1984518163,462.4,7;13;т1
1984518163,1984518195,740.0,7;13;т1
1984518195,1984082077,551.5,13;т1
1984082077,5424283350,396.3,13;36;т1
5424283350,1984082114,365.7,13;36;т1
1984082114,1984082158,344.8,13;36;т1
1984082158,1984082228,643.9,13;36;т1
1984082228,1984082257,478.6,13;36;т1
1984082257,1984082291,435.5,13;36;т1
1984082291,1984082315,687.4,13;36;т1
1984082315,1984082328,568.7,13;36;46;т1
1984082328,1984082360,384.6,13;36;46;т1
1984082360,1984082377,258.0,13;36;46;т1
1984082377,1984082412,430.8,13;36;46;т1
1984082412,1984587014,338.1,13;36;46;т1
5041552959,6173481392,326.2,5;7
6173481392,1927810164,299.0,5;7
1927810164,4291992645,253.5,5;7
4291992645,4291992592,407.5,5;7
4291992592,1257401467,433.0,7
1257401467,12464935104,298.5,7
12464935104,3007312924,257.8,7;50
3007312924,3016721033,268.8,7;50
3016721033,473120396,353.0,7;50
473120396,473120397,284.0,7;50
473120397,3016214896,491.8,7;50
3016214896,473120399,420.7,7;50
473120399,4656724435,382.4,7;50
4656724435,473120401,128.2,7;50
473120401,473120402,356.0,7;50
473120402,4291989484,130.3,7;50
4291989484,473120404,231.6,7;50
473120404,11987259526,502.6,7;50
1984518195,1984681607,439.2,7
1984681607,1984681624,367.1,7;11;46
1984681624,1984681574,603.2,7;11;46
1984681574,1984681580,259.3,7;11;46
1984681580,1984682066,385.8,7;11;46
1984682066,1984681646,495.9,7;11;46
1984681646,1984653753,351.5,7;46
243894862,1677617756,463.0,11;25
1677617756,1677617737,460.6,11;25
1677617737,1677617709,205.3,11;25
1677617709,2447720025,690.1,11;25
2447720025,287393729,509.6,11;25
287393729,287393738,393.9,11;25
287393738,287393749,428.3,11
287393749,10707781450,352.6,11
10707781450,1984681642,370.3,11
1984681642,1984682069,430.9,7;11;46
1984682069,1984681582,388.6,7;11;46
1984681582,1984681577,270.6,7;11;46
1984681577,1984681614,657.2,7;11;46
1984681614,1984681612,274.8,7;11;46
1984681612,1865721073,588.5,11;46
1865721073,1865721070,472.3,11;36;46
1865721070,1475300542,229.7,11;36;46
1475300542,10665892060,346.4,11;36;46
10665892060,1475230084,230.2,11
1475230084,1475230072,589.2,11;12;32
1475230072,1475230089,543.6,11;12;32
1475230089,1478068143,539.2,11;12;32
1478068143,275634389,522.0,11;12
275634389,728258096,690.5,11;12
728258096,13910949174,827.7,11;12
13910949174,1468321457,496.6,11;12
1468321457,1468322504,348.7,11;12
1468322504,1468322520,336.7,11;12
1468322520,1468322522,345.9,11;12
1468322522,1468321514,361.9,11;12
1468321514,1468321473,369.6,11;12
1468321473,1468322481,425.7,11;12
1468322481,1468322487,428.2,11;12
1468322377,1468322489,163.8,11;12
1468322489,1468322484,401.8,11;12
1468322484,1468321477,458.1,11;12
1468321477,1468321517,387.1,11;12
1468321517,1468322523,331.0,11;12
1468322523,1468322521,357.9,11;12
1468322521,1468322508,335.8,11;12
1468322508,1468321464,487.0,11;12
1468321464,4725748726,284.9,11;12
4725748726,275634390,857.9,11;12
275634390,1468321511,576.7,11;12
1468321511,1478068142,558.9,11;12
1478068142,1475230092,488.2,11;12;32
1475230092,1475230075,508.5,11;12;32
1475230075,1475230086,606.1,11;12;32
1475230086,1475300562,296.0,11
1475300562,1475300537,416.1,11;36;46
1475300537,1865721078,478.4,11;36;46
1865721078,695657549,277.2,11;36;46
695657549,1984681607,392.7,11;46
1984681646,275350289,336.3,11
275350289,718450772,372.9,4;11
718450772,239836747,344.7,4;11
239836747,718450763,479.7,11
718450763,287393722,499.1,11;25
287393722,1677617703,646.2,11;25
1677617703,1677617745,293.8,11;25
1677617745,1677617750,410.0,11;25
1677617750,1677617714,280.1,11;25
1677617714,535516914,189.6,11;25
471836117,1984654065,422.6,4;7;46
1984654065,1984653987,341.3,4;7;46
1984653987,1984653782,449.5,4;7;46
1984653782,1984653803,455.3,4;7;46
1984653803,1984653797,296.7,4;7;46
1984653797,1984653772,345.0,4;7;46
1984653772,275350289,539.0,4
239836747,1992955354,659.8,4
1992955354,1992955357,241.4,4;25
1992955357,1992955352,401.6,4;25
1992955352,1992955358,423.8,4;25
1992955358,1992955363,372.6,4;25
1992955363,1992955361,459.2,4;25
1992955361,826381884,407.4,4;25
826381884,1984517985,276.4,4
1984517985,1992978972,156.2,4;43
1992978970,2358271808,97.5,4;43
2358271808,2358271810,318.8,4;43;50;т2
2358271810,2358271812,302.5,4;43;50;т2
2358271812,2360708029,370.3,4;43;50;т2
2360708029,2360708036,300.0,4;43;50;т2
2360708036,2360708027,384.1,4;43;50;т2
2360708027,13725188934,283.4,4;43;50;т2
13725188934,2360708032,101.3,4;43;50;т2
2360708032,2360761234,385.4,4;43;50;т2
2360761234,2371073747,414.4,4;43
2371073747,2371073744,400.4,4;32;43
2371073744,2371073733,353.3,4;32;43
2371073733,4909436992,372.9,4;32;43
4909436992,735092559,479.6,4;32;43
735092559,735092561,409.5,4;32;43
735092561,3012825593,165.3,4;32
3012825593,3012825597,445.9,2;4;32
3012825597,919757130,245.5,2;4;32
919757130,472373305,421.4,2;4;32
705055372,705056453,223.6,36;т2
705056453,5506761046,512.7,36;т2
5506761046,255740854,293.6,36;т2
255740854,936862418,349.1,36;т2
936862418,3446041579,277.1,36;т2
3446041579,9423699867,330.2,36;т2
9423699867,255743891,407.2,36;т2
255743891,936862421,508.7,36;т2
936862421,936862413,268.9,36;т2
936862413,13240581661,333.3,36;т2
13240581661,255743894,271.6,36;т2
255743894,936862439,612.2,36;т2
936862439,496984841,295.9,2;36;т2
496984841,10881867444,310.7,2;36;т2
10881867444,695657537,808.3,2;36;т2
695657537,695657536,309.2,2;36;т2
695657536,4394189537,292.2,2;36;т2
4394189537,3446041502,604.0,2;36;т2
3446041502,695657534,214.8,36
695657534,695657531,411.8,12;36
695657531,695657533,276.3,12;36
695657533,695657532,330.9,12;36
695657532,695657541,324.9,12;36
695657541,695657542,253.5,12;36
695657542,695657539,427.2,12;36
695657539,695657538,497.6,12;36
695657538,1475300562,794.6,36
695657549,1984082077,485.4,36
1984082069,1865721073,568.6,36
10665892060,10981951406,204.0,36;46
10981951406,1240945537,581.7,12;36
1240945537,1240945431,465.8,12;36
1240945431,1240945606,486.3,12;36
1240945606,496982780,252.3,12;36
496982780,1240945554,299.3,12;36
1240945554,1240945520,260.4,12;36
1240945520,1240945509,304.0,12;36
1240945509,1240945404,500.4,12;36
1240945404,800886913,212.5,36
800886913,3446041495,585.6,2;36;т2
3446041495,695081258,290.4,2;36;т2
695081258,496984206,278.3,2;36;т2
496984206,3446041532,782.1,2;36;т2
3446041532,695081259,373.1,2;36;т2
695081259,800563880,282.2,2;36;т2
800563880,937066580,616.5,36;т2
937066580,13240581662,291.7,36;т2
13240581662,255743893,235.6,36;т2
255743893,255743892,280.8,36;т2
255743892,496988723,556.9,36;т2
496988723,9429541815,332.9,36;т2
9429541815,255740855,341.3,36;т2
255740855,60906314,305.9,36;т2
60906314,10881867470,350.9,36;т2
10881867470,255589067,336.0,36;т2
255589067,726648668,527.2,36;т2
726648668,705055793,230.6,36;т2
944176912,711057604,412.1,10;21
711057604,943820342,324.8,10;15;21;28;30;31
943820342,638922972,2111.5,10;15;21;30
638922972,944656876,428.9,10;15;21;30
944656876,6398564169,416.8,15;21
6398564169,8299188699,377.7,15;21
8299188699,944656877,574.1,15;21
944656877,944656875,413.7,15;21
944656875,8299188704,347.1,15;21
8299188704,250559604,394.8,15;21
944700694,4378904644,588.2,27
4378904644,4378946054,260.5,23;27;30
4378946054,690203492,459.5,23;27;30
690203492,944700693,454.9,23;27;30
944700693,944700691,122.9,23;27;30
944700691,944700689,406.4,23;27;30
944700689,690165934,393.2,23;27;30
690165934,927186934,328.5,23;27;30
927186934,944700690,361.2,23;27;30
944700690,943078854,636.8,27
943078854,943078838,330.9,27;29
943078838,943078866,604.1,27;29
943078866,943078859,459.7,27;29
943078859,943078845,312.6,27;29
943078845,943078860,684.7,27;29
943078860,943078852,453.3,27;29
943078852,943078876,281.6,27;29
943078876,943078864,420.5,27;29
943078864,943078869,332.7,27;29
943078869,943078856,399.3,27;29
943078856,943078842,159.1,27;29
3476117616,943094270,261.2,27;29
943094270,943094261,262.1,27;29
943094261,943094275,466.0,27;29
943094275,943094265,306.4,27;29
943094265,9807999962,341.3,27;29
9807999962,449584455,506.3,27;29
449584455,943094259,601.7,27;29
943094259,3020722346,361.6,27;29
3020722346,943094278,458.6,27;29
943094278,943094263,514.3,27;29
943094263,943094279,440.5,27;29
943094279,943094276,622.5,27
943094276,927186932,280.3,23;27;30
927186932,944841877,402.5,23;27;30
944841877,690166053,331.5,23;27;30
690166053,690166109,466.4,23;27;30
690166109,690166287,207.6,23;27;30
690166287,690166444,264.8,23;27;30
690166444,943256994,470.1,23;27;30
943256994,943256997,301.2,23;27;30
943256997,825930154,483.0,27
943098664,943098666,158.1,23;29;30
943098666,943094276,399.0,23;30
943256997,943256996,482.0,23;30
943256996,943034194,626.1,23;30;31
943034194,899715431,220.1,23;30;31
899715431,943034202,253.1,23;30;31
943034202,899715472,218.1,23;30;31
899715472,5110954035,286.8,23;30;31
5110954035,2424317941,246.7,23
2424317941,2424320142,354.4,6;15;23;28
2424320142,2424327578,347.1,6;15;23;28
2424327578,2424418102,264.1,6;23
2424418056,2424327579,440.5,15;28
2424327579,2424320147,425.8,6;15;23;28
2424320147,2424317942,328.4,6;15;23;28
2424317942,825877090,773.8,6;15;28
825877090,798645928,395.4,6;15;28;30;31
798645928,945438226,406.9,15;28;30;31
945438226,303302468,414.9,15;28;30;31
303302468,711057604,491.9,15;28;30;31
2424418102,2424327579,442.3,6;23
2424317942,5110954034,211.3,23
5110954034,943034222,319.9,23;30;31
943034222,2640729583,163.1,23;30;31
2640729583,4378980852,303.6,23;30;31
4378980852,825822774,226.0,23;30;31
825822774,943034247,615.7,23;30;31
943034247,825930154,119.1,23;30;31
825930154,946247708,437.6,23
946247708,4378904644,579.6,23
944700690,943098665,418.9,23;30
943098665,943098668,163.1,23;29;30
5110954035,825877090,778.6,30;31
944656876,5241762248,667.2,10;30
5241762248,5894578522,475.5,10;30
5894578522,8299188700,418.3,10;30
8299188700,8299188701,226.9,10;30
946193043,946193034,230.4,10;30
946193034,946177842,399.6,10;30
946177842,946193053,585.8,10;30
946193053,946193045,569.2,10;30
946193045,5891405076,436.0,10;15;21;30
5891405076,944176914,2110.3,10;15;21;30
944176914,5139143240,767.2,10;21
8299188702,8299188703,441.4,15;21
8299188703,250559401,361.4,15;21
250559401,638952062,409.8,15;21
638952062,638952859,505.2,15;21
638952859,638968949,378.6,15;21
638968949,946193045,419.7,15;21
944176914,946177826,781.1,15;28;30;31
946177826,946177823,423.7,15;28;30;31
946177823,6162356566,337.2,15;28;30;31
6162356566,943034221,158.4,15;28;30;31
943034221,943034197,390.1,6;15;28;30;31
943034197,5110954034,724.7,30;31
825930154,946247721,438.4,30
946247721,4378904644,579.7,30
943034197,2424317941,765.1,6;15;28
2424327578,2424418056,265.6,15;28
798645928,899715451,770.4,6
899715451,899715467,511.9,6
899715467,302201188,666.9,6
302201188,899715503,761.6,6
899715503,899715434,532.7,6
899715434,899715488,363.9,6
899715488,899715500,492.4,6
899715500,899715462,699.8,6
899715462,899715428,315.5,6
899715428,899715477,467.8,6
899715477,899715456,421.6,6
899715456,777383397,664.7,6
777383397,777383407,451.1,6
777383407,777383410,358.7,6
777383410,777383412,350.0,6
777383412,777383404,383.3,6
777383404,777383409,284.9,6
777383409,777383411,215.0,6
777383411,777383414,172.5,6
777383414,777383416,152.2,6
777383416,777383400,242.0,6
777383400,777383402,376.9,6
963824252,963824256,193.4,6
963824256,250557831,194.1,6
250557831,963824254,230.9,6
963824254,963824241,148.1,6
963824241,943034261,222.6,6
943034261,943034199,435.0,6
943034199,943034250,317.0,6
943034250,943034228,447.0,6
943034228,943034232,433.8,6
943034232,943034215,595.4,6
943034215,943034258,412.0,6
943034258,10568640087,515.7,6
10568640087,943034233,296.6,6
943034233,943034244,767.2,6
943034244,943034223,408.0,6
943034223,943034204,438.4,6
943034204,943034254,409.0,6
943034254,943034230,856.3,6
943034230,943034211,704.5,6
943034211,943034256,602.3,6
943034256,303594453,556.9,6
303594453,943034221,136.2,6
952302299,952302345,244.0,1;16;1а
952302345,952302321,211.8,1;16;1а
952302321,952302293,207.9,1;16;1а
952302293,952302380,428.0,1;16;1а
952302380,678963748,316.5,1;16;1а
678963748,952302376,488.8,1;16;1а
952302376,10865222674,333.6,1;16;1а
10865222674,952302326,342.4,1;16;1а
952302326,952302296,577.8,1;16;1а
952302296,952302338,481.7,1;16;1а
952302338,678963754,329.6,1;16;1а
678963754,952302312,448.7,1;16;1а
952302312,952302288,332.0,1;16;1а
952302288,952302329,292.5,1;16;1а
952302329,996689318,293.4,1;16;1а
996689318,996689322,243.6,1;16;1а
996689322,996689315,472.9,1;16;1а;т2
996689315,996689312,386.3,1;16;1а;т2
996689312,60792114,375.9,1;16;1а;т2
60792114,428062933,347.7,1
10865222525,996689322,312.6,т2
60792114,1381710557,574.7,16;т2
1381710557,1381710533,299.0,16;т2
1381710533,1381710536,211.0,16;т2
1381710536,1377334348,1139.2,16;т2
1377334348,1377334429,755.7,16;т2
1377334429,1377334347,333.1,16;т2
1377334347,1377334345,277.7,16;т2
1377334345,1377188040,355.9,16;т2
1377188040,1377188064,684.2,16;47;49;47а;т2
1377188064,1377188054,623.4,16;47;49;47а;т2
1377188054,1377188042,621.4,16;47;49;47а;т2
1377188042,1376637394,425.9,47;т2
1376637394,3230415893,498.6,47;т2
3230415893,1376689650,330.8,т2
1376689650,1376689648,361.9,38;39;39а;т1;т2
1376689648,1376689636,387.9,38;39;39а;т1;т2
1376689636,1376689765,272.1,38;39;39а;т1;т2
1376689765,1376689638,374.4,38;39;39а;т1;т2
1376689638,1376689640,468.4,38;39;39а;т1;т2
1376689640,1376689653,354.5,38;39;39а;т1;т2
1376689653,1376689645,360.7,39;т1;т2
1376689645,1376698056,177.7,39;А;т1;т2
1376698056,1376698050,468.1,39;А;т1;т2
1376698050,1376698058,556.8,39;А;т1;т2
1376698058,1376698062,180.8,39;А;т1;т2
1376698062,1376698060,414.4,39;А;т1;т2
1376698060,1376698064,809.4,39;А;т1;т2
1376698064,1376698052,463.7,39;А;т1;т2
1376698052,1376698054,431.9,39;А;т1;т2
1376698054,1376698059,294.9,39;А;т1;т2
1376698059,1376908317,568.4,39;А;т1;т2
1376908317,13134322141,316.9,т1;т2
13134322141,13134322147,209.0,т1;т2
13134322147,13134322145,700.4,т1;т2
13134322145,13134322139,291.8,т1;т2
13134322139,13134322144,398.8,т1;т2
471943152,2358271808,101.2,50;т2
2360761234,1507754582,467.5,50;т2
1507754582,1507754858,496.1,32;50;т2
1507754858,1507754577,340.9,32;50;т2
1507754577,1507754592,606.4,32;50;т2
1507754592,250722843,723.4,50;т2
250722843,7618078828,275.6,2;12;38;50;т2
7618078828,695081254,227.6,2;12;38;50;т2
695081254,4886738300,928.5,2;12;т2
4886738300,800886913,348.7,2;т2
3446041502,4886738301,321.4,2;т2
4886738301,800886899,908.1,2;12;т2
800886899,7618078829,217.0,2;12;38;50;т2
7618078829,800886916,321.0,2;12;38;50;т2
800886916,1507754589,642.7,50;т2
1507754589,1507754571,723.6,32;50;т2
1507754571,1507754852,400.4,32;50;т2
1507754852,1507754587,387.4,32;50;т2
1507754587,2360761231,406.2,50;т2
2358271813,387747233,815.0,50;т2
387747233,13134322143,238.8,т1;т2
13134322143,13134322138,381.5,т1;т2
13134322138,13134322146,320.5,т1;т2
13134322146,13134322148,699.1,т1;т2
13134322148,13134322140,211.2,т1;т2
13134322140,1376965964,292.2,т1;т2
1376965964,1376965981,464.2,39;А;т1;т2
1376965981,1376965977,410.7,39;А;т1;т2
1376965977,1376965973,345.2,39;А;т1;т2
1376965973,1376698065,504.8,39;А;т1;т2
1376698065,1376698061,819.8,39;А;т1;т2
1376698061,1376698063,302.0,39;А;т1;т2
1376698063,1376698057,262.7,39;А;т1;т2
1376698057,1376698051,516.6,39;А;т1;т2
