osm_id,name,lat,lon,routes
472373305,Курский вокзал,55.7555891,37.6601427,2;4;32
4909436987,3-й Сыромятнический переулок,55.7531308,37.6638299,2;4;32
919757151,Дом Культуры Метростроя,55.7509360,37.6654238,2;4;32
919757145,Костомаровский мост,55.7475010,37.6684884,2;4;32
683155027,Музей имени Андрея Рублёва,55.7474904,37.6707282,4;32;43
471970141,Дом культуры «Серп и молот»,55.7486565,37.6756547,4;32;43
471970142,Трамвайно-ремонтный завод,55.7520492,37.6782247,4;32;43
2371073737,Библиотека имени Грина,55.7556250,37.6821748,4;32;43
2371073740,Красноказарменная площадь,55.7575985,37.6849063,4;32;43
2371073751,Лефортовский мост,55.7613185,37.6865608,4;32;43
2360761231,Лефортовская набережная,55.7628491,37.6823020,4;43;50;т2
2360708033,МГТУ имени Баумана,55.7652335,37.6801524,4;43;50;т2
13725188935,Денисовский переулок,55.7668566,37.6798643,4;43;50;т2
2360708026,Аптекарский переулок,55.7681050,37.6796233,4;43;50;т2
2360708034,Метро «Бауманская»,55.7721950,37.6786612,4;43;50;т2
2358271807,Басманный двор,55.7751735,37.6778637,4;43;50;т2
2358271811,Поликлиника,55.7770940,37.6734216,4;43;50;т2
2358271809,Ольховская улица,55.7763944,37.6703821,4;43;50;т2
2358271813,Метро «Красносельская»,55.7790764,37.6668325,4;43;50;т2
1992978967,Леснорядская улица,55.7817007,37.6705396,4;7;13;43;т1
3599958536,МЦД Митьково,55.7853273,37.6758022,4;7;13;43;т1
1992979018,Метро «Сокольники»,55.7892854,37.6810069,4;7;13;43;т1
1984518005,2-й Полевой переулок,55.7908035,37.6813735,4;43
1984517983,ПКиО Сокольники,55.7926944,37.6811460,4;25
1992955360,Охотничья улица,55.7958552,37.6829494,4;25
1992955362,Улица Короленко,55.7992914,37.6859668,4;25
1992955359,Майский просек,55.8028831,37.6888615,4;25
1992955355,Большая Оленья улица,55.8054757,37.6917199,4;25
1992955356,2-й Ширяевский переулок,55.8083611,37.6883116,4;25
1992955353,Большая Ширяевская улица,55.8105218,37.6854418,4;25
1642815217,Ростокинский проезд,55.8151031,37.6854207,4;25
287393749,Богатырский мост,55.8167445,37.6894557,4;11
1984653753,Богородский храм,55.8150507,37.6960486,4;7;46
1984653757,Богородское,55.8166403,37.7006106,4;7;46
1984653783,Ланинский переулок,55.8188569,37.7049436,4;7;46
1984653805,Погонный проезд,55.8197433,37.7101928,4;7;46
1984653779,Игральная улица,55.8185109,37.7156669,4;7;46
1984654046,3-й проезд Подбельского,55.8181211,37.7210193,4;7;46
1984654067,5-й проезд Подбельского,55.8170884,37.7259860,4;7;46
664687258,Метро «Бульвар Рокоссовского»,55.8142659,37.7342433,4;7
1377188043,Даниловская мануфактура,55.7009595,37.6214940,16;47;49;т2
1377188053,Стадион «Труд»,55.6955304,37.6212538,16;47;49;т2
1377188061,МЦК Верхние Котлы,55.6896974,37.6223960,16;47;49;т2
1377188051,Метро «Нагатинская»,55.6842818,37.6236766,16;47;49;т2
1377334343,Платформа Нагатинская,55.6803852,37.6247841,16;т2
1377334346,Нижние Котлы,55.6781817,37.6255701,16;т2
1377334428,1-й Нагатинский проезд,55.6753044,37.6265955,16;т2
1377334349,Хлебозаводский проезд,55.6693888,37.6254553,16;т2
1381710544,Симферопольский бульвар,55.6641479,37.6151502,16;т2
1381710534,Нахимовский проспект,55.6629046,37.6128165,16;т2
1381710558,Фруктовая улица,55.6606793,37.6101119,16;т2
1381710531,Болотниковская улица,55.6559940,37.6053520,1;16;т2
1381710556,Метро «Каховская»,55.6536252,37.6054067,1;16;т2
1381710553,"Симферопольский бульвар, 20",55.6491778,37.6054902,1;16;т2
1381710560,Черноморский бульвар,55.6455234,37.6055469,1;16;т2
678963759,Балаклавский проспект,55.6427412,37.6056042,1;16
678963757,Метро «Чертановская»,55.6401092,37.6055680,1;16
678963756,Верхний Чертановский пруд,55.6378508,37.6051582,1;16
678963755,Сумской проезд,55.6338519,37.6031046,1;16
8270024933,Футбольная школа «Чертаново»,55.6313691,37.6009867,1;16
952273050,Школьный парк,55.6286706,37.5986893,1;16
678963752,Кинотеатр «Ашхабад»,55.6242157,37.5957465,1;16
678963751,"Чертановская улица, 28",55.6197801,37.5938360,1;16
10865222673,Детская стоматологическая поликлиника,55.6164951,37.5928734,1;16
678963749,Чертаново-Центральное,55.6116699,37.5914997,1;16
10865222687,"Чертановская улица, 44",55.6092164,37.5909208,1;16
678963747,Кировоградские пруды,55.6060142,37.5901865,1;16
678963746,"Чертановская улица, 53",55.6026514,37.5893497,1;16
678963745,ОВД «Чертаново Южное»,55.6007754,37.5889036,1;16
678963744,Поликлиника,55.5989309,37.5884671,1;16
678963743,Чертаново Южное,55.5963145,37.5878379,1;16
444863659,Усадьба Останкино,55.8235904,37.6157775,11;17;25
535844745,Аргуновская улица,55.8218598,37.6213391,11;17;25
639572174,Улица Цандера,55.8218230,37.6281370,11;17;25
535844754,ВДНХ (южный вход),55.8220741,37.6336906,11;17;25
535844761,Метро «ВДНХ»,55.8240069,37.6387399,11;17;25
243894862,ВДНХ (северный вход),55.8272146,37.6460711,11;17;25
535844764,улица Сергея Эйзенштейна,55.8289817,37.6488419,17
535844768,Сельскохозяйственная улица,55.8318212,37.6519639,17
273091182,Улица Докукина,55.8370466,37.6582215,17
243896132,МЦК Ростокино,55.8429430,37.6652471,17
535844771,node/535844771,55.8459816,37.6694964,17
535844774,Социальный фонд России,55.8507675,37.6706063,17
535844813,Берингов проезд,55.8547765,37.6647293,17
535844810,Верхоянская улица,55.8567262,37.6619052,17
535844779,Радужная улица,55.8594542,37.6602088,17
535844816,Печорская улица,55.8645961,37.6616972,17
535844818,Метро «Бабушкинская»,55.8682878,37.6635791,17
535844784,Олонецкий проезд,55.8702948,37.6596176,17
535844788,Сухонская улица,55.8714122,37.6523153,17
535844782,Проезд Шокальского,55.8716849,37.6481314,17
534957374,МФЦ «Южное Медведково»,55.8716961,37.6378787,17
535844777,Культурно-досуговый центр,55.8743664,37.6370817,17
535844790,Улица Молодцова,55.8779406,37.6360426,17
1098654108,Поликлиника,55.8815736,37.6388938,17
679923004,Улица Тихомирова,55.8859136,37.6430233,17
535844808,Медведково,55.8875052,37.6429789,17
534957385,Медведково,55.8865575,37.6429552,17
534957384,Улица Тихомирова,55.8847048,37.6418096,17
534957383,Поликлиника,55.8817849,37.6390216,17
534957382,Улица Молодцова,55.8788513,37.6362130,17
534957377,Культурно-досуговый центр,55.8744708,37.6369974,17
1098591539,МФЦ «Южное Медведково»,55.8718418,37.6377818,17
534957378,Проезд Шокальского,55.8715629,37.6462401,17
534957381,Сухонская улица,55.8714629,37.6515958,17
534957379,Олонецкий проезд,55.8704168,37.6586348,17
534957387,Метро «Бабушкинская»,55.8682098,37.6635030,17
534957386,Печорская улица,55.8642419,37.6614700,17
535516946,Радужная улица,55.8598610,37.6600682,17
535516949,Верхоянская улица,55.8570580,37.6614864,17
535516954,Берингов проезд,55.8545022,37.6650967,17
535516942,Социальный фонд России,55.8505492,37.6705910,17
535516937,node/535516937,55.8457135,37.6690538,17
535516930,МЦК Ростокино,55.8429843,37.6652301,17
535516927,улица Докукина,55.8369197,37.6579870,17
535516922,Сельскохозяйственная улица,55.8327291,37.6528158,17
535516918,улица Сергея Эйзенштейна,55.8296408,37.6494839,17
535516914,ВДНХ (северный вход),55.8272421,37.6460967,11;17;25
535516842,Метро «ВДНХ»,55.8238048,37.6382716,11;17;25
1046562062,ВДНХ (южный вход),55.8220920,37.6339085,11;17;25
1046561946,Улица Цандера,55.8218406,37.6286054,11;17;25
535516828,Аргуновская улица,55.8218859,37.6221282,11;17;25
3236023227,Усадьба Останкино,55.8227374,37.6172291,11;17;25
428062933,Москворецкий рынок,55.6584318,37.6085510,1
1984582826,Метрогородок,55.8292790,37.7665705,13;36;46;т1
1984082421,Детские ясли-сад,55.8271655,37.7637111,13;36;46;т1
1984082383,Монтажная улица,55.8246532,37.7585776,13;36;46;т1
1984082368,Консультативно-диагностический центр,55.8231057,37.7555700,13;36;46;т1
1984082333,Тагильская улица,55.8207763,37.7510630,13;36;46;т1
1984082314,Плодоовощной комбинат,55.8176037,37.7432624,13;36;46;т1
1984082290,Метро «Бульвар Рокоссовского»,55.8127106,37.7345117,13;36;т1
1984082276,Районный центр «Янтарь»,55.8106201,37.7308974,13;36;т1
1984082244,Просторная улица,55.8072533,37.7267495,13;36;т1
1984082176,Черкизово,55.8023741,37.7270054,13;36;т1
1984082122,Халтуринская улица,55.7993531,37.7286106,13;36;т1
5424283351,Зельев переулок,55.7976369,37.7244508,13;36;т1
1984082069,Метро «Преображенская площадь»,55.7964387,37.7175579,13;36;т1
